locus_tag	ftype	length_bp	gene	EC_number	COG	product
SRR29831_00042	CDS	153				hypothetical protein
SRR29831_00043	CDS	297				hypothetical protein
SRR29831_00044	CDS	285				hypothetical protein
SRR29831_00045	CDS	555				hypothetical protein
SRR29831_00046	CDS	543				hypothetical protein
SRR29831_00047	CDS	168				hypothetical protein
SRR29831_00048	CDS	780				hypothetical protein
SRR29831_00049	CDS	288				hypothetical protein
SRR29831_00050	CDS	597				hypothetical protein
SRR29831_00051	CDS	498				hypothetical protein
SRR29831_00052	CDS	159				hypothetical protein
SRR29831_00053	CDS	249				hypothetical protein
SRR29831_00054	CDS	168				hypothetical protein
SRR29831_00055	CDS	345				hypothetical protein
SRR29831_00056	CDS	168	xis			ICEBs1 excisionase
SRR29831_00057	CDS	828				hypothetical protein
SRR29831_00058	CDS	261				hypothetical protein
SRR29831_00059	CDS	360				hypothetical protein
SRR29831_00060	CDS	234				hypothetical protein
SRR29831_00061	CDS	1050			COG0582	Putative prophage phiRv2 integrase
SRR29831_00062	CDS	759	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
SRR29831_00063	CDS	822	oppC		COG1173	Oligopeptide transport system permease protein OppC
SRR29831_00064	CDS	975	dppB_1		COG0601	Dipeptide transport system permease protein DppB
SRR29831_00065	CDS	1596				hypothetical protein
SRR29831_00066	CDS	525				hypothetical protein
SRR29831_00067	CDS	405			COG1720	S-adenosyl-L-methionine-binding protein
SRR29831_00068	CDS	3234	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
SRR29831_00069	CDS	552				hypothetical protein
SRR29831_00070	CDS	1014				hypothetical protein
SRR29831_00071	CDS	2007	mcpB_1		COG0840	Methyl-accepting chemotaxis protein McpB
SRR29831_00072	CDS	2007	mcpC		COG0840	Methyl-accepting chemotaxis protein McpC
SRR29831_00073	CDS	885	ydaD	1.-.-.-		General stress protein 39
SRR29831_00074	CDS	834				hypothetical protein
SRR29831_00075	CDS	828				Nucleobase transporter PlAzg2
SRR29831_00076	CDS	1473				hypothetical protein
SRR29831_00077	CDS	1170	alr1_1	5.1.1.1	COG0787	Alanine racemase 1
SRR29831_00078	CDS	555				hypothetical protein
SRR29831_00079	CDS	633				hypothetical protein
SRR29831_00080	CDS	1323				hypothetical protein
SRR29831_00081	CDS	1923	acoR_1		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
SRR29831_00082	CDS	1413	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
SRR29831_00083	CDS	888			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
SRR29831_00084	CDS	1167	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
SRR29831_00085	CDS	1911	acoR_2		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
SRR29831_00086	CDS	771	fetB		COG0390	putative iron export permease protein FetB
SRR29831_00087	CDS	630	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
SRR29831_00088	CDS	309			COG1695	Transcriptional regulator
SRR29831_00089	CDS	612	slmA			Nucleoid occlusion factor SlmA
SRR29831_00090	CDS	1404				hypothetical protein
SRR29831_00091	CDS	681				hypothetical protein
SRR29831_00092	CDS	702				hypothetical protein
SRR29831_00093	CDS	1698				hypothetical protein
SRR29831_00094	CDS	1470				hypothetical protein
SRR29831_00095	CDS	1416	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
SRR29831_00096	CDS	1830				hypothetical protein
SRR29831_00097	CDS	888				hypothetical protein
SRR29831_00098	CDS	2187	fcl	1.1.1.271		GDP-L-fucose synthase
SRR29831_00099	CDS	1278	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
SRR29831_00100	CDS	1320	yclM	2.7.2.4	COG0527	Aspartokinase 3
SRR29831_00101	CDS	888	thrB	2.7.1.39	COG0083	Homoserine kinase
SRR29831_00102	CDS	1482	thrC	4.2.3.1	COG0498	Threonine synthase
SRR29831_00103	CDS	2958				hypothetical protein
SRR29831_00104	CDS	1380				hypothetical protein
SRR29831_00105	CDS	2115				hypothetical protein
SRR29831_00106	CDS	1011	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
SRR29831_00107	CDS	1578				hypothetical protein
SRR29831_00108	CDS	1146	opuBA		COG1125	Choline transport ATP-binding protein OpuBA
SRR29831_00109	CDS	996	lplJ_1	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
SRR29831_00110	CDS	1392	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
SRR29831_00111	CDS	1311	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
SRR29831_00112	CDS	996				hypothetical protein
SRR29831_00113	CDS	972	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
SRR29831_00114	CDS	984	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
SRR29831_00115	CDS	324				hypothetical protein
SRR29831_00116	CDS	1953	acoR_3		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
SRR29831_00117	CDS	1269				hypothetical protein
SRR29831_00118	CDS	780				hypothetical protein
SRR29831_00119	CDS	420				hypothetical protein
SRR29831_00120	CDS	2379	metH_1	2.1.1.13	COG0646	Methionine synthase
SRR29831_00121	CDS	681				hypothetical protein
SRR29831_00122	CDS	888	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
SRR29831_00123	CDS	3630				hypothetical protein
SRR29831_00124	CDS	180				hypothetical protein
SRR29831_00125	CDS	540	rpoH_1			RNA polymerase sigma factor RpoH
SRR29831_00126	CDS	732				hypothetical protein
SRR29831_00127	CDS	768	glcR		COG1349	HTH-type transcriptional repressor GlcR
SRR29831_00128	CDS	861	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
SRR29831_00129	CDS	915				hypothetical protein
SRR29831_00130	CDS	1227				L-lactate transporter
SRR29831_00131	CDS	693	walR_1		COG0745	Transcriptional regulatory protein WalR
SRR29831_00132	CDS	2106	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
SRR29831_00133	CDS	456	csxB			Exosporium protein B
SRR29831_00134	CDS	1335				hypothetical protein
SRR29831_00135	CDS	333			COG0327	GTP cyclohydrolase 1 type 2 
SRR29831_00136	CDS	624	ytaF			putative sporulation protein YtaF
SRR29831_00137	CDS	792	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
SRR29831_00138	CDS	1659	glcB		COG2190	PTS system glucoside-specific EIICBA component
SRR29831_00139	CDS	1665	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
SRR29831_00140	CDS	948	glcK	2.7.1.2	COG1940	Glucokinase
SRR29831_00141	CDS	1002	malR		COG1609	HTH-type transcriptional regulator MalR
SRR29831_00142	CDS	1725	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
SRR29831_00143	CDS	1755		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SRR29831_00144	CDS	990	rhaR_1			HTH-type transcriptional activator RhaR
SRR29831_00145	CDS	456				hypothetical protein
SRR29831_00146	CDS	882				hypothetical protein
SRR29831_00147	CDS	819				hypothetical protein
SRR29831_00148	CDS	3294	rapA_2	3.6.4.-		RNA polymerase-associated protein RapA
SRR29831_00149	CDS	1350	mepA_1			Multidrug export protein MepA
SRR29831_00150	CDS	579	betI_1			HTH-type transcriptional regulator BetI
SRR29831_00151	CDS	603				hypothetical protein
SRR29831_00152	CDS	651				hypothetical protein
SRR29831_00153	CDS	1419	arcD		COG0531	Arginine/ornithine antiporter
SRR29831_00154	CDS	1227	arcA_1	3.5.3.6		Arginine deiminase
SRR29831_00155	CDS	1377	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
SRR29831_00156	CDS	660	saeR_1		COG0745	Response regulator SaeR
SRR29831_00157	CDS	744				hypothetical protein
SRR29831_00158	CDS	732				hypothetical protein
SRR29831_00159	CDS	717	bcrA_1			Bacitracin transport ATP-binding protein BcrA
SRR29831_00160	CDS	1257				hypothetical protein
SRR29831_00161	CDS	1701	cdr_1	1.8.1.14		Coenzyme A disulfide reductase
SRR29831_00162	CDS	1251				hypothetical protein
SRR29831_00163	CDS	891	cysL		COG0583	HTH-type transcriptional regulator CysL
SRR29831_00164	CDS	528				hypothetical protein
SRR29831_00165	CDS	222	yeeD		COG0425	Putative sulfur carrier protein YeeD
SRR29831_00166	CDS	696				hypothetical protein
SRR29831_00167	CDS	333	hisE_1	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
SRR29831_00168	CDS	333	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
SRR29831_00169	CDS	762	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
SRR29831_00170	CDS	1065	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
SRR29831_00171	CDS	729	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
SRR29831_00172	CDS	606	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
SRR29831_00173	CDS	591	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
SRR29831_00174	CDS	1305	hisD	1.1.1.23		Histidinol dehydrogenase
SRR29831_00175	CDS	648	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
SRR29831_00176	CDS	1269	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
SRR29831_00177	CDS	885	rbsK	2.7.1.15	COG0524	Ribokinase
SRR29831_00178	CDS	639	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
SRR29831_00179	CDS	753				hypothetical protein
SRR29831_00180	CDS	957				hypothetical protein
SRR29831_00181	CDS	660	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
SRR29831_00182	CDS	591	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
SRR29831_00183	CDS	654	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
SRR29831_00184	CDS	432				hypothetical protein
SRR29831_00185	CDS	762	fldI_1	3.6.1.-		(R)-phenyllactate dehydratase activator
SRR29831_00186	CDS	996				hypothetical protein
SRR29831_00187	CDS	945				hypothetical protein
SRR29831_00188	CDS	723				hypothetical protein
SRR29831_00189	CDS	495				hypothetical protein
SRR29831_00190	CDS	939	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
SRR29831_00191	CDS	750	yeiL		COG0664	Regulatory protein YeiL
SRR29831_00192	CDS	426				hypothetical protein
SRR29831_00193	CDS	441				hypothetical protein
SRR29831_00194	CDS	255				hypothetical protein
SRR29831_00195	CDS	117				hypothetical protein
SRR29831_00196	CDS	1905	bceB_1		COG0577	Bacitracin export permease protein BceB
SRR29831_00197	CDS	768	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
SRR29831_00198	CDS	1545	flp_1			Protein flp
SRR29831_00199	CDS	1035	graS_1	2.7.13.3		Sensor histidine kinase GraS
SRR29831_00200	CDS	675	graR_1		COG0745	Response regulator protein GraR
SRR29831_00201	CDS	2637		7.2.2.10	COG0474	Calcium-transporting ATPase
SRR29831_00202	CDS	237				hypothetical protein
SRR29831_00203	CDS	951	rny_1	3.1.-.-		Ribonuclease Y
SRR29831_00204	CDS	417				hypothetical protein
SRR29831_00205	CDS	1734		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SRR29831_00206	CDS	747		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SRR29831_00207	CDS	1002				hypothetical protein
SRR29831_00208	CDS	972	rhaR_2			HTH-type transcriptional activator RhaR
SRR29831_00209	CDS	1164				hypothetical protein
SRR29831_00210	CDS	771				hypothetical protein
SRR29831_00211	CDS	363	mntR_1		COG1321	Transcriptional regulator MntR
SRR29831_00212	CDS	381				hypothetical protein
SRR29831_00213	CDS	1113				hypothetical protein
SRR29831_00214	CDS	831				hypothetical protein
SRR29831_00215	CDS	1209				hypothetical protein
SRR29831_00216	CDS	1188	rhaR_3			HTH-type transcriptional activator RhaR
SRR29831_00217	CDS	471	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
SRR29831_00218	CDS	366				hypothetical protein
SRR29831_00219	CDS	123				hypothetical protein
SRR29831_00220	CDS	354	hxlR		COG1733	HTH-type transcriptional activator HxlR
SRR29831_00221	CDS	543				hypothetical protein
SRR29831_00222	CDS	468				hypothetical protein
SRR29831_00223	CDS	2073	mcpA		COG0840	Methyl-accepting chemotaxis protein McpA
SRR29831_00224	CDS	195				hypothetical protein
SRR29831_00225	CDS	348	yhjQ		COG1145	putative cysteine-rich protein YhjQ
SRR29831_00226	CDS	2412				hypothetical protein
SRR29831_00227	CDS	948				hypothetical protein
SRR29831_00228	CDS	489				hypothetical protein
SRR29831_00229	CDS	711	lutR		COG2186	HTH-type transcriptional regulator LutR
SRR29831_00230	CDS	957	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
SRR29831_00231	CDS	1362	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
SRR29831_00232	CDS	843	araQ		COG0395	L-arabinose transport system permease protein AraQ
SRR29831_00233	CDS	894	lacF			Lactose transport system permease protein LacF
SRR29831_00234	CDS	1098	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
SRR29831_00235	CDS	552				hypothetical protein
SRR29831_00236	CDS	624	betI_2			HTH-type transcriptional regulator BetI
SRR29831_00237	CDS	2214				hypothetical protein
SRR29831_00238	CDS	699	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
SRR29831_00239	CDS	492	proX		COG3760	Prolyl-tRNA editing protein ProX
SRR29831_00240	CDS	1137				hypothetical protein
SRR29831_00241	CDS	1908	mutS_1			DNA mismatch repair protein MutS
SRR29831_00242	CDS	1860	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
SRR29831_00243	CDS	1566	petC	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
SRR29831_00244	CDS	1023	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
SRR29831_00245	CDS	1020		1.-.-.-		NADH oxidase
SRR29831_00246	CDS	570				hypothetical protein
SRR29831_00247	CDS	819				hypothetical protein
SRR29831_00248	CDS	657	metP_1		COG2011	Methionine import system permease protein MetP
SRR29831_00249	CDS	963	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
SRR29831_00250	CDS	1071	hemE_1	4.1.1.37		Uroporphyrinogen decarboxylase
SRR29831_00251	CDS	1023	hemE_2	4.1.1.37		Uroporphyrinogen decarboxylase
SRR29831_00252	CDS	663	metH_2	2.1.1.13	COG0646	Methionine synthase
SRR29831_00253	CDS	873	hemE_3	4.1.1.37		Uroporphyrinogen decarboxylase
SRR29831_00254	CDS	930	yeiR	3.6.-.-	COG0523	Zinc-binding GTPase YeiR
SRR29831_00255	CDS	1731	nqrF	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
SRR29831_00256	CDS	1398	mleN_1		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SRR29831_00257	CDS	1053	hemE_4	4.1.1.37		Uroporphyrinogen decarboxylase
SRR29831_00258	CDS	156				hypothetical protein
SRR29831_00259	CDS	921				hypothetical protein
SRR29831_00260	CDS	570				hypothetical protein
SRR29831_00261	CDS	660	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
SRR29831_00262	CDS	672	modB		COG4149	Molybdenum transport system permease protein ModB
SRR29831_00263	CDS	816	modA		COG0725	Molybdate-binding protein ModA
SRR29831_00264	CDS	546				hypothetical protein
SRR29831_00265	CDS	1143	rlmL_1		COG0116	Ribosomal RNA large subunit methyltransferase K/L
SRR29831_00266	CDS	762	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
SRR29831_00267	CDS	1344	uraA		COG2233	Uracil permease
SRR29831_00268	CDS	537	pyrR_1		COG2065	Bifunctional protein PyrR
SRR29831_00269	CDS	918	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
SRR29831_00270	CDS	444	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
SRR29831_00271	CDS	624	dksA			RNA polymerase-binding transcription factor DksA
SRR29831_00272	CDS	1329	aroA_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
SRR29831_00273	CDS	801	aroA_2		COG1605	Protein AroA(G)
SRR29831_00274	CDS	693	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
SRR29831_00275	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
SRR29831_00276	CDS	660	gpsB			Cell cycle protein GpsB
SRR29831_00277	CDS	771				hypothetical protein
SRR29831_00278	CDS	276				hypothetical protein
SRR29831_00279	CDS	453	sepF		COG1799	Cell division protein SepF
SRR29831_00280	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
SRR29831_00281	CDS	732				hypothetical protein
SRR29831_00282	CDS	351				hypothetical protein
SRR29831_00283	CDS	714				hypothetical protein
SRR29831_00284	CDS	771	divIB			Cell division protein DivIB
SRR29831_00285	CDS	1113	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
SRR29831_00286	CDS	954	mraY_1	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
SRR29831_00287	CDS	1389	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
SRR29831_00288	CDS	1449	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
SRR29831_00289	CDS	2181	spoVD_1		COG0768	Stage V sporulation protein D
SRR29831_00290	CDS	504	ftsL			Cell division protein FtsL
SRR29831_00291	CDS	930	rsmH_1	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
SRR29831_00292	CDS	429	mraZ			Transcriptional regulator MraZ
SRR29831_00293	CDS	1098	ychF		COG0012	Ribosome-binding ATPase YchF
SRR29831_00294	CDS	1491	opuD		COG1292	Glycine betaine transporter OpuD
SRR29831_00295	CDS	240	grdH_1	1.21.4.4		Betaine reductase complex component B subunit beta
SRR29831_00296	CDS	1047	grdH_2	1.21.4.4		Betaine reductase complex component B subunit beta
SRR29831_00297	CDS	1329	grdI	1.21.4.4		Betaine reductase complex component B subunit alpha
SRR29831_00298	CDS	663				hypothetical protein
SRR29831_00299	CDS	639				hypothetical protein
SRR29831_00300	CDS	927				hypothetical protein
SRR29831_00301	CDS	915	nadA	2.5.1.72	COG0379	Quinolinate synthase A
SRR29831_00302	CDS	1302	nadB	1.4.3.16	COG0029	L-aspartate oxidase
SRR29831_00303	CDS	837	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
SRR29831_00304	CDS	1740	nprM_1	3.4.24.28	COG3227	Bacillolysin
SRR29831_00305	CDS	1743	nprM_2	3.4.24.28	COG3227	Bacillolysin
SRR29831_00306	CDS	1773	nprM_3	3.4.24.28	COG3227	Bacillolysin
SRR29831_00307	CDS	1797	nprM_4	3.4.24.28	COG3227	Bacillolysin
SRR29831_00308	CDS	1779	nprM_5	3.4.24.28	COG3227	Bacillolysin
SRR29831_00309	CDS	666				hypothetical protein
SRR29831_00310	CDS	2319	lon_1	3.4.21.53		Lon protease
SRR29831_00311	CDS	1200	adhA	1.1.1.2		Long-chain primary alcohol dehydrogenase AdhA
SRR29831_00312	CDS	408				hypothetical protein
SRR29831_00313	CDS	564				hypothetical protein
SRR29831_00314	CDS	1242	gltP		COG1301	Proton/glutamate-aspartate symporter
SRR29831_00315	CDS	1506	spoVB_1		COG2244	Stage V sporulation protein B
SRR29831_00316	CDS	1608	spoVB_2		COG2244	Stage V sporulation protein B
SRR29831_00317	CDS	954	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
SRR29831_00318	CDS	285	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
SRR29831_00319	CDS	1179	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
SRR29831_00320	CDS	2244	ftsA_1			Cell division protein FtsA
SRR29831_00321	CDS	303				hypothetical protein
SRR29831_00322	CDS	399	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
SRR29831_00323	CDS	588				hypothetical protein
SRR29831_00324	CDS	759				hypothetical protein
SRR29831_00325	CDS	174				hypothetical protein
SRR29831_00326	CDS	225	uviB_1			Bacteriocin UviB
SRR29831_00327	CDS	195				hypothetical protein
SRR29831_00328	CDS	156				hypothetical protein
SRR29831_00329	CDS	858	xerD_1			Tyrosine recombinase XerD
SRR29831_00330	CDS	2013	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
SRR29831_00331	CDS	549				hypothetical protein
SRR29831_00332	CDS	660	yecS_1		COG0765	L-cystine transport system permease protein YecS
SRR29831_00333	CDS	810	fliY_1		COG0834	L-cystine-binding protein FliY
SRR29831_00334	CDS	1482	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
SRR29831_00335	CDS	1521				hypothetical protein
SRR29831_00336	CDS	225				hypothetical protein
SRR29831_00337	CDS	1164	bdhA	1.1.1.-	COG1979	NADH-dependent butanol dehydrogenase A
SRR29831_00338	CDS	348				hypothetical protein
SRR29831_00339	CDS	624	nudL	3.6.1.-		putative Nudix hydrolase NudL
SRR29831_00340	CDS	1275	dacF_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
SRR29831_00341	CDS	219				hypothetical protein
SRR29831_00342	CDS	738	yxeO	3.6.3.-	COG1126	putative amino-acid import ATP-binding protein YxeO
SRR29831_00343	CDS	666	yxeN_1			putative amino-acid permease protein YxeN
SRR29831_00344	CDS	819	yxeM_1		COG0834	putative amino-acid-binding protein YxeM
SRR29831_00345	CDS	1179	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
SRR29831_00346	CDS	1035				hypothetical protein
SRR29831_00347	CDS	723				hypothetical protein
SRR29831_00348	CDS	1806	yxdM_1			ABC transporter permease protein YxdM
SRR29831_00349	CDS	756	yxdL_2		COG1136	ABC transporter ATP-binding protein YxdL
SRR29831_00350	CDS	978	graS_2	2.7.13.3		Sensor histidine kinase GraS
SRR29831_00351	CDS	702	graR_2		COG0745	Response regulator protein GraR
SRR29831_00352	CDS	498				hypothetical protein
SRR29831_00353	CDS	1890	yxdM_2			ABC transporter permease protein YxdM
SRR29831_00354	CDS	765	yxdL_3		COG1136	ABC transporter ATP-binding protein YxdL
SRR29831_00355	CDS	639	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
SRR29831_00356	CDS	837	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
SRR29831_00357	CDS	894				hypothetical protein
SRR29831_00358	CDS	1464	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
SRR29831_00359	CDS	204	cspA		COG1278	Cold shock protein CspA
SRR29831_00360	CDS	492				hypothetical protein
SRR29831_00361	CDS	552	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
SRR29831_00362	CDS	234				hypothetical protein
SRR29831_00363	CDS	1107				hypothetical protein
SRR29831_00364	CDS	1179				hypothetical protein
SRR29831_00365	CDS	939	lnrL_2	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
SRR29831_00366	CDS	654	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
SRR29831_00367	CDS	1158	lnrJ_1	2.7.13.3		Sensor histidine kinase LnrJ
SRR29831_00368	CDS	378				hypothetical protein
SRR29831_00369	CDS	1041	rbn	3.1.-.-	COG1234	Ribonuclease BN
SRR29831_00370	CDS	1272		3.4.19.11		Gamma-D-glutamyl-L-diamino acid endopeptidase 1
SRR29831_00371	CDS	474				hypothetical protein
SRR29831_00372	CDS	318	perR_1		COG0735	Peroxide-responsive repressor PerR
SRR29831_00373	CDS	690	yknY_2	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
SRR29831_00374	CDS	2511				hypothetical protein
SRR29831_00375	CDS	600	nrtD_1	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
SRR29831_00376	CDS	762				hypothetical protein
SRR29831_00377	CDS	1008				hypothetical protein
SRR29831_00378	CDS	666				hypothetical protein
SRR29831_00379	CDS	192				hypothetical protein
SRR29831_00380	CDS	138				hypothetical protein
SRR29831_00381	CDS	255				hypothetical protein
SRR29831_00382	CDS	1080				hypothetical protein
SRR29831_00383	CDS	432				hypothetical protein
SRR29831_00384	CDS	549	dosC_1	2.7.7.65		Diguanylate cyclase DosC
SRR29831_00385	CDS	1767	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
SRR29831_00386	CDS	495				hypothetical protein
SRR29831_00387	CDS	939	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
SRR29831_00388	CDS	654	znuC	7.2.2.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
SRR29831_00389	CDS	789	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
SRR29831_00390	CDS	516				hypothetical protein
SRR29831_00391	CDS	813	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
SRR29831_00392	CDS	795	cntD	7.2.2.-	COG0444	Metal-staphylopine import system ATP-binding protein CntD
SRR29831_00393	CDS	801	dppC_1		COG1173	Dipeptide transport system permease protein DppC
SRR29831_00394	CDS	984	dppB_2		COG0601	Dipeptide transport system permease protein DppB
